mask_size_class,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
very_tiny,gradcam,border_w8_dil2_sigma5,99,0.004367093059865139,0.0044236308954265875,0.9975980115185541,-4.472349978751643,0.0021940928801406955,0.002222811978456403,0.9975738798439425,-4.467464515632348,0.004880765517128198,0.0050793132529865885,1.3968731418633025,-1.5145408516565186,0.1925316261584522
very_tiny,lime,border_w8_dil2_sigma5,99,0.0050219774571267,0.005139501492554702,1.192414382715037,-0.5552403521132914,0.0025202906506141716,0.0025798420571439685,1.1928794215322736,-0.5505316468693856,0.0026714681325199574,0.0026972682856566898,1.2072248601812072,-0.43818160147515345,0.1925316261584522
very_tiny,shap,border_w8_dil2_sigma5,99,0.010441202203100413,0.010420989007064728,1.0123378784605706,-0.06773578974475128,0.00525339774787669,0.005243041116960326,1.0124059502255476,-0.06683934252387957,0.004361631155099516,0.004587737879227576,0.9811936500851709,-0.257191866365728,0.1925316261584522
normal,gradcam,colour_heterogeneity,11252,0.09894743418320082,0.0983212672013987,1.0564744132754913,1.05687942369739,0.054529336827481865,0.05379705694712936,1.0642394736410705,1.8590025148085614,0.06288935888487143,0.05711508197327562,1.354708238635781,3.186949466723778,0.17820265724320866
normal,shap,colour_heterogeneity,11252,0.15135433763555142,0.15418996166846458,1.0660774783669846,-0.40148136115555455,0.08535270306346696,0.08611469192359957,1.0828827829112486,0.4526076862165921,0.08274890439737825,0.07897325168288954,1.1271312624989618,4.419207463181727,0.17820265724320866
normal,lime,colour_heterogeneity,11252,0.10704533875617912,0.11509962079771142,0.9861022700002621,-4.493571354776267,0.05865748916765015,0.06291957899511161,0.991836475575056,-3.9434579896769124,0.06514903760982971,0.0699746863269573,0.9862476156492698,-4.482612432728119,0.17820265724320866
small,gradcam,colour_heterogeneity,971,0.02344907328000068,0.023725463456910328,1.0138543874365498,-1.2143591004968912,0.012065490829471654,0.012210982599276252,1.013975120892225,-1.18897753844225,0.029488406023574016,0.030435584151504408,1.1414391548045197,-0.5729437189137425,0.23584599620814298
small,shap,colour_heterogeneity,971,0.05411403571787659,0.05294138881848812,1.0428042149160504,0.5768125544381292,0.028082353037595386,0.02744733900055736,1.0442737295903948,0.6045659668940844,0.023844923091890197,0.022535495753100848,1.0928298607578286,2.567732914901873,0.23584599620814298
small,lime,colour_heterogeneity,971,0.033749800952614324,0.03757338774035537,0.9960742970514779,-4.601070404166058,0.01733823457062939,0.019336849783389006,0.996586473752324,-4.5168136528996925,0.01780277945710129,0.01983824224663107,0.9949947356490846,-4.632056586043209,0.23584599620814298
tiny,shap,colour_heterogeneity,285,0.03140679943383618,0.030491586963140978,1.0335952419760763,0.6906989962758796,0.016024597800681044,0.015545439308136833,1.0343380090123333,0.6978616261617093,0.014320887860294644,0.013349182467417444,1.0923016625023119,2.204777554837212,0.2832522473458319
tiny,gradcam,colour_heterogeneity,285,0.012551549592968935,0.012708426984181904,0.9977256231875135,-1.2062444407689477,0.006368905644025597,0.0064506462447256364,0.9977427168844365,-1.1995095826071496,0.016027556439573667,0.016428071191675962,1.0092730820651326,-0.7685642965590272,0.2832522473458319
tiny,lime,colour_heterogeneity,285,0.018939310933424335,0.02039900938901606,0.9555738886479239,-2.611542769067405,0.00961112518166351,0.010355731686837824,0.9555849741336894,-2.5947623283339984,0.00981551385653127,0.010611053639576566,0.951676676987533,-2.6683897363801607,0.2832522473458319
very_tiny,shap,colour_heterogeneity,99,0.01717548459566847,0.01667655918323447,1.0321184008207482,0.6087195052245958,0.008685262549041827,0.008429198154817668,1.0324720506041016,0.6110388907292422,0.00786566514594739,0.007343447039037837,1.0879506349311556,1.5177820769193826,0.3033148314521642
very_tiny,lime,colour_heterogeneity,99,0.008338333659231627,0.00848299112172492,1.0694493575521056,-0.7079440230280373,0.0042003586315853625,0.00427226608089781,1.0696611774026814,-0.7035015803637343,0.004289560817569184,0.004396040731036434,1.0654999525171907,-0.7807976478653281,0.3033148314521642
very_tiny,gradcam,colour_heterogeneity,99,0.007049378480048929,0.007088685382129233,0.9976281925797219,-1.675506383613162,0.003555898128938348,0.003576006843518288,0.9976058759851741,-1.6749126562481367,0.008948504416780025,0.008877799059226133,1.004251068334915,-0.157147097600026,0.3033148314521642
